EmployeeID,EmployeeKey,Title,Salesperson,UPN
61161660,286,Sales Representative,Pamela Ansman-Wolfe,pamela-ansman-wolfe@adventureworks.com
90836195,293,Sales Representative,Tete Mensa-Annan,tete-mensa-annan@adventureworks.com
112432117,277,Director of Sales,Brian Welcker,brian-welcker@adventureworks.com
134219713,292,Sales Representative,Ranjit Varkey Chudukatil,ranjit-varkey-chudukatil@adventureworks.com
139397894,287,Sales Representative,Shu Ito,shu-ito@adventureworks.com
191644724,282,Sales Representative,Linda Mitchell,linda-mitchell@adventureworks.com
234474252,284,Sales Representative,Garrett Vargas,garrett-vargas@adventureworks.com
399771412,288,Sales Representative,José Saraiva,jose-saraiva@adventureworks.com
481044938,294,Pacific Sales Manager,Syed Abbas,syed-abbas@adventureworks.com
502097814,272,North American Sales Manager,Stephen Jiang,stephen-jiang@adventureworks.com
615389812,283,Sales Representative,Jillian Carson,jillian-carson@adventureworks.com
668991357,291,Sales Representative,Jae Pak,jae-pak@adventureworks.com
716374314,285,Sales Representative,Tsvi Reiter,tsvi-reiter@adventureworks.com
758596752,296,Sales Representative,Lynn Tsoflias,lynn-tsoflias@adventureworks.com
841560125,281,Sales Representative,Michael Blythe,michael-blythe@adventureworks.com
954276278,295,Sales Representative,Rachel Valdez,rachel-valdez@adventureworks.com
982310417,290,European Sales Manager,Amy Alberts,amy-alberts@adventureworks.com
987554265,289,Sales Representative,David Campbell,david-campbell@adventureworks.com
